title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls,ingredients_dict,standardized_ingredients_dict,serves_dict,makes,servings,total_time
Air fryer Christmas cake,Easy,plus overnight soaking and cooling ,Visit us on Facebook,0 reviews,True,False,False,False,False,Prep:20 mins,,"['raisins', 'sultanas', '100g dried apricots, roughly chopped', 'glacé cherries', 'mixed peel', ' ground mixed spice', '4 tbsp  brandy or rum, plus extra for feeding', '1 small  orange, zested and juiced', '2 tbsp golden syrup', '200g salted butter, at room temperature, plus extra for the tin', '200g light brown soft sugar', '4 eggs', '200g self-raising flour', '65g ground almonds']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerChristmasCake-0963c7f.jpg?quality=90&resize=440,400","['Put the dried fruit, peel and ground mixed spice in a food container and pour over the brandy or rum, orange zest and juice and golden syrup. Mix well and set aside to soak overnight at room temperature.', 'Butter and line the base of a deep 20cm cake tin. Whisk the butter and sugar with electric beaters until creamy. Beat in the eggs one at a time, then stir in the flour, ground almonds and, finally, the soaked fruit.', 'Heat the air fryer to 140C. Spoon the mixture into the prepared tin and bake for 2 hrs 30 mins, rotating the tin halfway through and covering with foil when happy with the colour. Check the cake is ready by inserting a skewer into the centre – it may have crumbs attached, but shouldn’t be sticky.', 'Allow the cake to cool completely in the tin. Pierce it all over with a skewer and drizzle with brandy or rum. Wrap tightly in baking parchment and foil, then leave in a cool, dark place, feeding every fortnight with a drizzle of brandy or rum, until ready to serve.']",https://www.bbcgoodfood.com/recipes/air-fryer-christmas-cake,"{'raisins': None, 'sultanas': None, 'dried apricots': '100g', 'glac': None, 'mixed peel': None, 'ground mixed spice': None, 'brandy or rum': '4 tbsp', 'small orange': '1', 'golden syrup': '2 tbsp', 'salted butter': '200g', 'light brown soft sugar': '200g', 'eggs': '4', 'self-raising flour': '200g', 'ground almonds': '65g'}","{'raisins': None, 'sultanas': None, 'dried apricots': '100g', 'peel': None, 'mixed spice': None, 'brandy': '4 tbsp', 'orange': '1', 'golden syrup': '2 tbsp', 'butter': '200g', 'sugar': '200g', 'egg': '4', 'flour': '200g', 'ground almonds': '65g'}",{},,,20
Frosty chocolate cookies,Easy,Serves 24,Visit us on Facebook,0 reviews,True,False,False,False,False,Prep:15 mins,,"['2 eggs', '175g caster sugar', '75g salted butter, melted', '150g self-raising flour', 'cocoa powder', '65g milk chocolate chips', '50g icing sugar']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerFrostedChocCookies-276ad2e.jpg?quality=90&resize=440,400","['Whisk the eggs and sugar with an electric whisk until thick and voluminous. Mix in the melted butter. Sift over the flour and cocoa powder, add the chocolate chips and mix to combine. Cover and chill for 1 hr. Dough will keep chilled in an airtight container for up to a week.', 'Heat the air fryer to 170C and put a square of baking parchment in the basket. Shape heaped teaspoons of the mixture into balls. If cooking straight away, roll the balls in the icing sugar until well coated. Put on the parchment, leaving plenty of room for them to spread out. The un-dusted cookie balls can be frozen for up to two months.', 'Air fry in batches for 8-10 mins (or 10-12 mins from frozen), then leave to cool and firm up for a few minutes before carefully transferring to a wire rack to cool completely. Will keep in a tin for five days.']",https://www.bbcgoodfood.com/recipes/frosty-chocolate-cookies,"{'eggs': '2', 'caster sugar': '175g', 'salted butter': '75g', 'self-raising flour': '150g', 'cocoa powder': None, 'milk chocolate chips': '65g', 'icing sugar': '50g'}","{'egg': '2', 'caster sugar': '175g', 'butter': '75g', 'flour': '150g', 'cocoa powder': None, 'milk chocolate': '65g', 'icing sugar': '50g'}",{'serves': '24'},,24,15
Air fryer gingerbread,Easy,Makes 16-24 ,Visit us on Facebook,0 reviews,True,False,False,False,False,Prep:20 mins,,"['100g salted butter', '100g dark muscovado sugar', '3 tbsp golden syrup', '225g plain flour', '2 tsp ground ginger', '1 tsp ground cinnamon', '½ tsp  bicarbonate of soda', '2 tbsp milk', ', to decorate (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerGingerbreadMen-9ed9d04.jpg?quality=90&resize=440,400","['Gently melt the butter, sugar and syrup in a saucepan, stirring until smooth. Leave to cool for 10 mins.', 'Put the flour, spices and bicarbonate of soda in a large bowl. Add the syrup mixture and the milk, then gently knead in the bowl until smooth. Wrap and chill for 30 mins.', 'Heat the air fryer to 160C. Cut the dough into quarters and roll out one piece (return the rest to the fridge) between two sheets of baking parchment to a thickness of 3-4mm. Stamp out 4-6 gingerbread people, depending on the size of your cutters and air fryer.', 'Put a square of parchment in the air fryer basket and arrange the gingerbread people on top, leaving a little space between each one. Cook for 7-8 mins until dark golden. Leave to cool and firm up for a couple of mins before carefully transferring to a wire rack to cool completely. Repeat the process to use up the remaining dough. Decorate your gingerbread people with icing, if you like.']",https://www.bbcgoodfood.com/recipes/air-fryer-gingerbread,"{'salted butter': '100g', 'dark muscovado sugar': '100g', 'golden syrup': '3 tbsp', 'plain flour': '225g', 'ground ginger': '2 tsp', 'ground cinnamon': '1 tsp', 'milk': '2 tbsp'}","{'butter': '100g', 'muscovado sugar': '100g', 'golden syrup': '3 tbsp', 'plain flour': '225g', 'ground ginger': '2 tsp', 'cinnamon': '1 tsp', 'milk': '2 tbsp'}",{},16-24,,20
Air fryer stollen bites,More effort,Makes 16-25 bites,Visit us on Facebook,0 reviews,True,False,False,False,False,Prep:20 mins,,"['150ml whole milk', '65g unsalted butter, plus extra for the tin', '300g strong white flour', '7g sachet fast-action dried yeast', '50g caster sugar', 'pinch of ground nutmeg', 'pinch of ground cloves', 'fine salt', 'raisins', 'sultanas', 'mixed peel', ', such as sunflower', '4 tbsp icing sugar, for dusting', '200g marzipan']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerStollenBites-afb6b22.jpg?quality=90&resize=440,400","['Put the milk and 50g butter in a small saucepan and heat gently until the butter melts (you can also do this in a microwave). Leave to cool to room temperature.', 'Put the flour, yeast and caster sugar in a large mixing bowl along with the spices and the salt. Add the buttery milk and stir together. Tip the dough out and knead for 5 mins until smooth – it will be quite firm and you shouldn’t need to add flour.', 'Sprinkle over the dried fruit and knead well into the dough. Lightly oil the mixing bowl and return the dough to it. Cover and leave to prove in a warm place for 1 hr.', 'Butter and line a 20 x 20cm cake tin with baking parchment or use a silicone liner for the air fryer basket.', 'Halve the dough and stretch each piece into a 20cm square. Place one in the base of the tin, pressing it out to the corners with your fingertips. On a surface lightly dusted with icing sugar, roll the marzipan out to roughly the same size as the dough and lay it on top. Lay the second dough square over the marzipan, then cover loosely and prove again for 1 hr until lightly risen.', 'Heat the air fryer to 160C. Bake the stollen for 25-30 mins until golden brown on the top and base. Leave to cool in the tin for 10 mins, then lift out onto a wire rack.', 'Melt the remaining 15g butter and brush over the stollen. Dust generously with icing sugar, then leave to cool completely before cutting into squares.']",https://www.bbcgoodfood.com/recipes/air-fryer-stollen-bites,"{'whole milk': '150ml', 'unsalted butter': '65g', 'strong white flour': '300g', 'sachet fast-action dried yeast': '7g', 'caster sugar': '50g', 'pinch of ground nutmeg': None, 'pinch of ground cloves': None, 'fine salt': None, 'raisins': None, 'sultanas': None, 'mixed peel': None, 'icing sugar': '4 tbsp', 'marzipan': '200g'}","{'milk': '150ml', 'butter': '65g', 'strong white flour': '300g', 'yeast': '7g', 'caster sugar': '50g', 'nutmeg': None, 'cloves': None, 'salt': None, 'raisins': None, 'sultanas': None, 'peel': None, 'icing sugar': '4 tbsp', 'marzipan': '200g'}",{},16-25 bites,,20
Air fryer apple pancakes,Easy,Serves 2,Visit us on Twitter,0 reviews,True,False,False,False,False,Prep:5 mins,,"[', for the tin', '150g self-raising flour', '½ tsp baking powder', '2 tsp caster sugar', '1 egg', '200ml milk', '1 apple, cored and very thinly sliced', ' and maple syrup, or ice cream, to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerApplePancake-1a8d9e6.jpg?quality=90&resize=440,400","['Oil an 18cm cake tin and preheat the air fryer to 200C. Mix the flour, baking powder, sugar and a pinch of salt in a large bowl. Crack the egg into a jug and whisk with the milk.', 'Create a well in the centre of the flour, then add the milk mixture. Stir until just combined. Pour a quarter of the batter into the prepared tin, starting from the outside in, so there isn’t too much batter in the centre. Lay over a couple of apple slices and carefully place into the basket of the air-fryer. Cook for 3-4 mins, until golden and a skewer inserted into the centre comes out clean.', 'Keep warm in a low oven while you cook the remaining pancakes. Serve with berries and maple syrup drizzled over the top, or a scoop of ice cream, if you like.']",https://www.bbcgoodfood.com/recipes/air-fryer-apple-pancakes-2,"{'self-raising flour': '150g', 'caster sugar': '2 tsp', 'egg': '1', 'milk': '200ml', 'apple': '1', 'and maple syrup': None}","{'flour': '150g', 'caster sugar': '2 tsp', 'egg': '1', 'milk': '200ml', 'apple': '1', 'maple syrup': None}",{'serves': '2'},,2,5
Air fryer baked camembert,Easy,Serves 2 - 4,Visit us on Facebook,0 reviews,False,False,False,False,False,Prep:5 mins,,"['camembert', 'few rosemary sprigs, each cut into 3-4 pieces', '6 garlic cloves, peeled and sliced', ', to serve (why not make it festive and use pigs in blankets?)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerBakedCamembertbroken-e3bc47c.jpg?quality=90&resize=440,400","['Heat the air fryer to 180C. Remove the lid from the camembert pack and unwrap it. Put the camembert back into the wooden container, but don’t put the lid back on.', 'Score the camembert and tuck in pieces of rosemary and slices of garlic. Cook in the air fryer for 10 mins, then serve with your choice of crudités to dip in.']",https://www.bbcgoodfood.com/recipes/air-fryer-baked-camembert,"{'camembert': None, 'few rosemary sprigs': None, 'garlic cloves': '6'}","{'camembert': None, 'rosemary': None, 'cloves': '6'}",{'serves': '2'},,2 - 4,5
Air fryer apple & cinnamon tarts,Easy,Serves 6,Visit us on Twitter,0 reviews,True,False,False,False,False,Prep:20 mins,,"['ready-rolled puff pastry', '3 apples', 'lemon juice', '1 ½ tsp cinnamon', '40g caster sugar', '1 egg or 3 tbsp milk, to glaze', 'icing sugar, to decorate (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerAppleCinnamonTarts-07ae2eb.jpg?quality=90&resize=440,400","['Line the base of your air fryer with foil. Cut the pastry sheet in half lengthways, then cut each half into three pieces, so you have six in total. Score an edge of about 2cm around each piece, being careful not to cut all the way through. Put in the fridge to chill while you prepare the apple.', 'Core and quarter the apple, then cut each quarter into thin slices. Put the apple in a bowl, add the lemon juice and toss. Add the cinnamon and caster sugar, then mix well to coat.', 'Put the apple slices into the centre of the pastry, being careful not to go over the border you scored earlier. Chill in the fridge for 20 mins.', 'Heat the air fryer to 180C. Cook the tarts for 25-30 mins until the pastry is cooked and the apple has started to turn light golden.']",https://www.bbcgoodfood.com/recipes/air-fryer-apple-cinnamon-tarts,"{'ready-rolled puff pastry': None, 'apples': '3', 'lemon juice': None, 'caster sugar': '40g', 'egg or milk': '3 tbsp', 'icing sugar': None}","{'puff pastry': None, 'apple': '3', 'lemon juice': None, 'caster sugar': '40g', 'milk': '3 tbsp', 'icing sugar': None}",{'serves': '6'},,6,20
Air fryer sticky toffee pudding,Easy,Serves 4,Visit us on Twitter,0 reviews,False,False,False,False,False,Prep:15 mins,,"['80g pitted dates ', '100g salted butter, softened, plus extra for the tin', '100g dark muscovado sugar', '2 eggs', '1 tsp  vanilla extract', '100g self-raising flour', '½ tsp  bicarbonate of soda', 'mixed spice', ' or double cream, to serve', '100g dark muscovado sugar', '25g salted butter', '200ml double cream']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerStickyToffeePudding-999439d.jpg?quality=90&resize=440,400","['Put the dates in a bowl and cover with boiling water. Leave to soak for 1 hr.', 'Once soaked, drain the dates and tip them into a food processor. Add the butter, sugar, eggs, vanilla, flour, bicarb and mixed spice, then blend to a smooth batter. Pour the batter into a baking dish that will fit in your air fryer – ours was 20cm x 15cm and 7cm deep. Cook in the fryer for 20 mins at 180C.', 'Meanwhile, make the sauce by bubbling the sugar, butter and cream together in a pan for 2-3 mins until the sugar dissolves.', 'Pour a little of the sauce over the puddings and cook for 2 mins more. Once cooked, serve with the extra sauce and ice cream or double cream.']",https://www.bbcgoodfood.com/recipes/air-fryer-sticky-toffee-pudding,"{'pitted dates': '80g', 'salted butter': '25g', 'dark muscovado sugar': '100g', 'eggs': '2', 'vanilla extract': '1 tsp', 'self-raising flour': '100g', 'mixed spice': None, 'or double cream': None, 'double cream': '200ml'}","{'date': '80g', 'butter': '25g', 'muscovado sugar': '100g', 'egg': '2', 'vanilla extract': '1 tsp', 'flour': '100g', 'mixed spice': None, 'double cream': '200ml'}",{'serves': '4'},,4,15
Chocolate fondants,Easy,Serves 4,Visit us on Twitter,0 reviews,True,False,False,False,False,Prep:15 mins,,"['100g unsalted butter, diced, plus 20g melted for greasing', 'cocoa powder', '100g dark chocolate, broken into pieces', '2 eggs', '100g light brown soft sugar', '1 tbsp plain flour, sifted', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerChocFondantscream-6ed2562.jpg?quality=90&resize=440,400","['Brush the inside of four dariole or pudding moulds with melted butter. Tip the cocoa into one and turn it to coat the inside, holding it over another mould to catch any cocoa powder that escapes. Repeat with the other moulds.', 'Put the butter and chocolate into a heatproof bowl. Set the bowl over a pan of simmering water, making sure the bowl doesn’t touch the water, and stir occasionally until melted. Alternatively, melt in short bursts in the microwave. Allow to cool slightly.', 'Beat together the eggs, sugar and a pinch of salt with an electric whisk until pale and moussey (the mixture should almost double in volume) – this will take 3-4 mins. Gently fold in the melted chocolate and butter, then the flour, being careful not to knock out too much air. Spoon into the prepared moulds, stopping just below the top. Chill for at least 1 hr.', 'Heat the air fryer to 180C. Cook the puddings for 10 mins, until the tops are set and coming away from the sides of the moulds. Leave to stand for 1 min, then serve in the moulds or turn out onto plates and serve with ice cream or double cream.']",https://www.bbcgoodfood.com/recipes/air-fryer-chocolate-fondants-2,"{'unsalted butter': '100g', 'cocoa powder': None, 'dark chocolate': '100g', 'eggs': '2', 'light brown soft sugar': '100g', 'plain flour': '1 tbsp'}","{'butter': '100g', 'cocoa powder': None, 'dark chocolate': '100g', 'egg': '2', 'sugar': '100g', 'plain flour': '1 tbsp'}",{'serves': '4'},,4,15
Coconut king prawns with chilli mango mayo,Easy,Serves 4-6 as a starter or snack ,Visit us on Facebook,0 reviews,False,False,False,False,False,Prep:20 mins,,"['5 tbsp  desiccated coconut', '5 tbsp  panko breadcrumbs', '1-2 tbsp  rapeseed or sunflower oil', '3 tbsp plain flour', '1 tsp  smoked paprika', '200g raw extra-large king prawns, thawed if frozen', '1 egg, beaten', 'fresh mango chunks', '1 mild red chilli, deseeded and roughly chopped', 'mayonnaise', '1 lime, plus extra wedges to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerCocoPrawnChilliMangoMayo-f915be8.jpg?quality=90&resize=440,400","['Begin with the mayo. Blend the mango and chilli together until smooth, then stir into the mayonnaise. Season and add a squeeze of lime to taste.', 'Stir the coconut and breadcrumbs together, then gradually add the oil, using your fingertips to rub the crumbs. Make sure you add enough oil to coat evenly, without causing any clumping. Set the coconut crumbs aside.', 'In a separate bowl, mix the flour and paprika and season. Set aside.', 'Heat the air fryer to 200C. Dip the prawns into the seasoned flour, then the beaten egg and finally the coconut crumbs. Shake off any excess, then cook directly in the air fryer basket for 6-8 mins, turning halfway, until crunchy and lightly golden. Serve with the mayo and extra lime wedges.']",https://www.bbcgoodfood.com/recipes/coconut-king-prawns-with-chilli-mango-mayo,"{'desiccated coconut': '5 tbsp', 'panko breadcrumbs': '5 tbsp', 'rapeseed or sunflower oil': '1-2 tbsp', 'plain flour': '3 tbsp', 'smoked paprika': '1 tsp', 'raw extra-large king prawns': '200g', 'egg': '1', 'fresh mango chunks': None, 'mild red chilli': '1', 'mayonnaise': None, 'lime': '1'}","{'desiccated coconut': '5 tbsp', 'panko breadcrumbs': '5 tbsp', 'sunflower oil': '1-2 tbsp', 'plain flour': '3 tbsp', 'smoked paprika': '1 tsp', 'prawn': '200g', 'egg': '1', 'mango': None, 'chilli': '1', 'mayonnaise': None, 'lime': '1'}",{},,4-6 as a starter or snack,20
