title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,recipe_urls,ingredients_dict
Air fryer chocolate fondants,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:15 mins,,"['100g unsalted butter, diced, plus 20g melted for the moulds', 'cocoa powder', '100g dark chocolate, broken into pieces', '2 eggs', '100g light brown soft sugar', '1 tbsp plain flour, sifted', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Air-fryer-chocolate-fondant-885c3cd.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/air-fryer-chocolate-fondants,"{'unsalted butter': '100g', 'cocoa powder': None, 'dark chocolate': '100g', 'eggs': '2', 'light brown soft sugar': '100g', 'plain flour': '1 tbsp'}"
Dark chocolate & mint flourless cookies,Easy,Makes 35-40,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:15 mins,,"['90g salted butter, cubed', 'dark mint chocolate', '1 egg plus 2 egg whites (see tip, below)', '150g caster sugar', 'cocoa powder', 'icing sugar, to dust (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Choc-mint-b7e4014.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/dark-chocolate-mint-flourless-cookies,"{'salted butter': '90g', 'dark mint chocolate': None, 'egg': '1', 'caster sugar': '150g', 'cocoa powder': None, 'icing sugar': None}"
Marmalade & tea madeleines,More effort,Makes 24,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:20 mins,,"['150g salted butter, plus 2 tbsp ', 'marmalade ', 'black tea bags ', '3 eggs', '150g golden caster sugar', '1 tbsp  honey ', '160g  self-raising flour ', 'madeleine tins']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Madeleines-7dbf650.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/marmalade-tea-madeleines,"{'salted butter': '150g', 'marmalade': None, 'black tea bags': None, 'eggs': '3', 'golden caster sugar': '150g', 'honey': '1 tbsp', 'self-raising flour': '160g', 'madeleine tins': None}"
Chocolate sugar & spice mini bundt cakes,Easy,Serves 12,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:20 mins,,"['flavourless oil', 'cocoa powder', '120g unsalted butter, cubed', '120g light brown soft sugar', '140g golden syrup ', 'brewed coffee', '75ml milk ', '¾ tsp ground nutmeg', '¾ tsp ground cinnamon', '1 ½ tsp  ground ginger', '200g plain flour', '1 tsp bicarbonate of soda ', '2 eggs, beaten', '100g dark chocolate, roughly chopped ', '175ml double cream', '50g crystallised ginger, roughly chopped', 'mini bundt tin']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Choc-bundt-fe959de.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/chocolate-sugar-spice-mini-bundt-cakes,"{'flavourless oil': None, 'cocoa powder': None, 'unsalted butter': '120g', 'light brown soft sugar': '120g', 'golden syrup': '140g', 'brewed coffee': None, 'milk': '75ml', 'plain flour': '200g', 'bicarbonate of soda': '1 tsp', 'eggs': '2', 'dark chocolate': '100g', 'double cream': '175ml', 'crystallised ginger': '50g', 'mini bundt tin': None}"
Clementine & poppy seed stollen,More effort,Makes 30-35,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:45 mins,,"['sultanas', '300g plain flour, plus extra for dusting', '7g sachet fast-action dried yeast', '1 tbsp caster sugar', 'ground cardamom', '½ tsp ground nutmeg', '½ tsp ground cinnamon', 'poppy seeds', '150ml whole milk', '2 tsp vanilla extract', '1 egg', '2 clementines, zested', 'glacé cherries', 'flavourless oil', '200g marzipan, cut into 1.5cm cubes', '75g unsalted butter, melted', '100g icing sugar, plus extra for dusting']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Stollen-Bites-2d397ef.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/clementine-poppy-seed-stollen,"{'sultanas': None, 'plain flour': '300g', 'sachet fast-action dried yeast': '7g', 'caster sugar': '1 tbsp', 'ground cardamom': None, 'poppy seeds': None, 'whole milk': '150ml', 'vanilla extract': '2 tsp', 'egg': '1', 'clementines': '2', 'glac': None, 'flavourless oil': None, 'marzipan': '200g', 'unsalted butter': '75g', 'icing sugar': '100g'}"
Nut brittle,Easy,Makes around 300g ,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:5 mins,,"['200g caster sugar', 'pistachios', '25g pecans, roughly chopped', '50g hazelnuts, roughly chopped', '15g dried cranberries  (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Brittle-10132f3.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/nut-brittle,"{'caster sugar': '200g', 'pistachios': None, 'pecans': '25g', 'hazelnuts': '50g', 'dried cranberries': '15g'}"
Oreo reindeers,Easy,Serves 14,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:20 mins - 30 mins,,"['200g milk or dark chocolate', 'pretzels ', 'oreo cookies', 'candy eyes', '14 mini red chocolate beans ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Oreo-reindeer-6009337.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/oreo-reindeers,"{'milk or dark chocolate': '200g', 'pretzels': None, 'oreo cookies': None, 'candy eyes': None, 'mini red chocolate beans': '14'}"
Spiced fig & plum chutney,Easy,Makes 2 x 454g jars,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:10 mins,,"['200g light brown soft sugar', 'apple cider vinegar', '300g fresh figs, roughly chopped', '1 white onion, finely chopped', '300g plums, destoned and roughly chopped', '1 apple, peeled, cored and grated', '2 cinnamon sticks', '6 cloves', '2 star anise']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Chutney-4a436f6.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/spiced-fig-plum-chutney,"{'light brown soft sugar': '200g', 'apple cider vinegar': None, 'fresh figs': '300g', 'white onion': '1', 'plums': '300g', 'apple': '1', 'cinnamon sticks': '2', 'cloves': '6', 'star anise': '2'}"
Apple jelly,More effort,Makes 3 x 454ml jars,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:50 mins,,"['1.5kg apples, washed well and roughly chopped (skin and core kept on)', '1 lemon, pared and juiced', 'around 750g jam sugar']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Apple-jelly-078ddc2.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/apple-jelly,"{'apples': '1.5kg', 'lemon': '1', 'around jam sugar': '750g'}"
Easy egg-fried rice,Easy,Serves 4,Visit us on Facebook,105 ratings,True,False,True,False,True,Prep:10 mins,,"['250g long grain rice', 'vegetable oil', '1 onion, finely chopped', '4 eggs, beaten', '2 spring onions, sliced, to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/egg-fried-rice-70b2cce.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/egg-fried-rice,"{'long grain rice': '250g', 'vegetable oil': None, 'onion': '1', 'eggs': '4', 'spring onions': '2'}"
