title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls,ingredients_dict,standardized_ingredients_dict
Sausage & fennel orecchiette,Easy,Serves 4,Visit us on Facebook,12 ratings,False,False,False,False,False,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Sausage-and-fennel-orecchiette-02c391f.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/sausage-fennel-orecchiette,{},{}
Baked mücver (courgette & feta bake),Easy,Serves 6,Visit us on Facebook,7 ratings,True,False,False,False,False,Prep:25 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Baked-mucver-courgette-and-feta-bake-5c25457.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/baked-mucver-courgette-feta-bake,{},{}
Feta & roasted tomato shakshuka,Easy,Serves 4 - 6,Visit us on Facebook,7 ratings,True,False,False,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Feta-and-roasted-tomato-shakshuka-ce25544.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/feta-roasted-tomato-shakshuka,{},{}
"Feta, herb & spring onion borek",Easy,Serves 6,Visit us on Facebook,3 ratings,True,False,False,False,False,Prep:30 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Feta-herb-and-spring-onion-borek-123a708.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/feta-herb-spring-onion-borek,{},{}
Best ever creamy mashed potatoes,Easy,Serves 4,Visit us on Facebook,2 ratings,True,False,False,False,True,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/09/creamy-mashed-potatoes-d9c1dd0.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/best-ever-creamy-mashed-potatoes,{},{}
Butter cookies,Easy,Serves 20 - 25,Visit us on Facebook,13 ratings,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/09/butter-cookies-262c4fd.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/butter-cookies,{},{}
Cheesy leeks,Easy,as a side,Visit us on Facebook,11 ratings,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/09/cheesy-leeks-05ffd2a.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/cheesy-leeks,{},{}
Cookies & cream fridge cake,Easy,Serves 12-14,Visit us on Facebook,11 ratings,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Cookies-and-cream-fridge-cake-a2773df.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/cookies-cream-fridge-cake,{},{}
Red lentil pasta with creamy tomato & pepper sauce,Easy,Serves 2,Visit us on Facebook,6 ratings,True,True,True,False,True,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Red-lentil-pasta-604d53f.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/red-lentil-pasta-with-creamy-tomato-pepper-sauce,{},{}
Soy & chilli chicken with peppers & peanuts,Easy,Serves 4,Visit us on Facebook,16 ratings,False,False,False,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Soy-and-chilli-chicken-with-peppers-and-peanuts-a28ee71.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/soy-chilli-chicken-with-peppers-peanuts,{},{}
Sausage & mash pie,Easy,Serves 4,Visit us on Facebook,34 ratings,False,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Sausage-and-mash-pie-f728116.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/sausage-mash-pie,{},{}
Pork & squash goulash cobbler,Easy,Serves 2,Visit us on Facebook,6 ratings,False,False,False,False,False,Prep:15 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Pork-squash-goulash-cobbler-5f6632e.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/pork-squash-goulash-cobbler,{},{}
Duck & watermelon noodle salad,Easy,Serves 2,Visit us on Facebook,1 rating,False,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Duck-noodle-salad-edeffec.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/duck-watermelon-noodle-salad,{},{}
Steak Diane,More effort,Serves 2,Visit us on Facebook,14 ratings,False,False,False,False,False,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/09/steak-diane-d804b45.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/next-level-steak-diane,{},{}
Peach & cardamom jam,More effort,Makes 3 x 400g jars,Visit us on Facebook,3 ratings,True,True,True,False,True,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Peach-jam-3ea7070.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/peach-cardamom-jam,{},{}
Chai caramel chocolate brownies,Easy,Serves 16,Visit us on Facebook,1 rating,True,False,False,False,False,Prep:25 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Chai-caramel-chocolate-brownies-8e66323.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/chai-caramel-chocolate-brownies,{},{}
Tuscan-style ribollita,Easy,Serves 6,Visit us on Instagram,12 ratings,False,False,False,False,False,Prep:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Tuscan-style-ribollita-e7f1bc4.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/tuscan-style-ribollita,{},{}
Seafood spice blend,Easy,Makes about 50g,Visit us on Twitter,0 reviews,True,True,True,False,True,Prep:5 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Seafood-spice-blend-21b4410.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/seafood-spice-blend,{},{}
"Cheese, cumin & onion seed cornbread muffins",Easy,Serves 12,Visit us on Facebook,2 ratings,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Cheese-cumin-onion-seed-cornbread-muffins-82eb17d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/cheese-cumin-onion-seed-cornbread-muffins,{},{}
One-pan carrot & cumin soup,Easy,Serves 6,Visit us on Twitter,5 ratings,True,False,False,False,False,Prep:20 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/One-pan-carrot-cumin-soup-b21db84.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/one-pan-carrot-cumin-soup,{},{}
Quick & easy chickpea coconut dhal,Easy,Serves 2 - 4,Visit us on Facebook,22 ratings,True,True,True,False,True,Cook:10 mins,,[],"https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Dahl-d267922.jpg?quality=90&crop=3px,23px,895px,813px&resize=556,505",[],https://www.bbcgoodfood.com/recipes/quick-easy-chickpea-coconut-dhal,{},{}
